,State,Rate,Rank,Year
0,Hawaii,2.2,1,2017
1,Colorado,2.6,2,2017
2,North Dakota,2.7,3,2017
3,New Hampshire,2.8,4,2017
4,Nebraska,2.9,5,2017
5,Vermont,3.0,6,2017
6,Iowa,3.1,7,2017
7,South Dakota,3.1,7,2017
8,Utah,3.1,7,2017
9,Idaho,3.2,10,2017
10,Wisconsin,3.3,11,2017
11,Maine,3.4,12,2017
12,Minnesota,3.4,12,2017
13,Indiana,3.5,14,2017
14,Kansas,3.6,15,2017
15,Arkansas,3.7,16,2017
16,Tennessee,3.7,16,2017
17,Virginia,3.7,16,2017
18,Massachusetts,3.8,19,2017
19,Missouri,3.8,19,2017
20,Oklahoma,4.0,21,2017
21,Maryland,4.1,22,2017
22,Montana,4.1,22,2017
23,Oregon,4.1,22,2017
24,Florida,4.2,25,2017
25,South Carolina,4.2,25,2017
26,Texas,4.3,27,2017
27,Wyoming,4.3,27,2017
28,Connecticut,4.4,29,2017
29,Delaware,4.4,29,2017
30,New Jersey,4.5,31,2017
31,North Carolina,4.5,31,2017
32,Rhode Island,4.5,31,2017
33,Alabama,4.6,34,2017
34,Michigan,4.6,34,2017
35,New York,4.6,34,2017
36,Washington,4.6,34,2017
37,California,4.8,38,2017
38,Georgia,4.8,38,2017
39,Kentucky,4.8,38,2017
40,Arizona,4.9,41,2017
41,Illinois,5.0,42,2017
42,Nevada,5.0,42,2017
43,Ohio,5.0,42,2017
44,Pennsylvania,5.0,42,2017
45,Louisiana,5.1,46,2017
46,Mississippi,5.2,47,2017
47,West Virginia,5.2,47,2017
48,District of Columbia,6.1,49,2017
49,New Mexico,6.1,49,2017
50,Alaska,6.5,51,2017
